ISIN CODE,INDUSTRY,QUANTITY,MARKET VALUE,% OF PORTFOLIO,COMPANY NAME,MONTH,YEAR,FUND NAME
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,650040101.1,0.0806,ACC LTD.,8,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,682814875.95,0.0846,ACC LTD.,9,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,675649368.9,0.0822,ACC LTD.,10,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,724535934.75,0.086,ACC LTD.,11,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,690149980.8,0.0814,ACC LTD.,12,2022,SBI
INE012A01025,CEMENT - MAJOR - NORTH INDIA,282663,556365582.9,0.0651,ACC LTD.,1,2023,SBI
INE742F01042,,835736,703815072.4,0.0872,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,8,2022,SBI
INE742F01042,,764145,627095594.25,0.0777,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,9,2022,SBI
INE742F01042,,764145,629311614.75,0.0766,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,10,2022,SBI
INE742F01042,,745836,657081516.0,0.078,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,11,2022,SBI
INE742F01042,,797225,652209772.5,0.0769,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,12,2022,SBI
INE742F01042,,1051791,644379756.15,0.0754,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,1,2023,SBI
INE540L01014,,43351,128954052.15,0.016,ALKEM LABORATORIES LTD.,8,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,1051133,432278446.25,0.0536,AMBUJA CEMENTS LTD.,8,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,452842714.8,0.0561,AMBUJA CEMENTS LTD.,9,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,468080924.85,0.0569,AMBUJA CEMENTS LTD.,10,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,501280022.25,0.0595,AMBUJA CEMENTS LTD.,11,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,460308120.3,0.0543,AMBUJA CEMENTS LTD.,12,2022,SBI
INE079A01024,CEMENT - MAJOR - NORTH INDIA,878283,352367139.6,0.0413,AMBUJA CEMENTS LTD.,1,2023,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,203334,878992548.6,0.109,APOLLO HOSPITALS ENTERPRISE LTD.,8,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,189532,830794568.8,0.1029,APOLLO HOSPITALS ENTERPRISE LTD.,9,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,190532,860728310.0,0.1047,APOLLO HOSPITALS ENTERPRISE LTD.,10,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,204670,967352288.0,0.1148,APOLLO HOSPITALS ENTERPRISE LTD.,11,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,192543,862130536.8,0.1016,APOLLO HOSPITALS ENTERPRISE LTD.,12,2022,SBI
INE437A01024,PHARMACEUTICALS - INDIAN - BULK DRUGS & FORMLN LRG,192543,819443753.7,0.0959,APOLLO HOSPITALS ENTERPRISE LTD.,1,2023,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,2043790,314743660.0,0.039,ASHOK LEYLAND LTD.,8,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,2356603,359735447.95,0.0446,ASHOK LEYLAND LTD.,9,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,3457002,529958406.6,0.0645,ASHOK LEYLAND LTD.,10,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,3882002,577641897.6,0.0686,ASHOK LEYLAND LTD.,11,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,4333983,621493162.2,0.0733,ASHOK LEYLAND LTD.,12,2022,SBI
INE208A01029,AUTOMOBILES - LCVS/HCVS,4569983,683212458.5,0.08,ASHOK LEYLAND LTD.,1,2023,SBI
INE021A01026,PAINTS / VARNISHES,504775,1711994890.0,0.2122,ASIAN PAINTS LTD.,8,2022,SBI
INE021A01026,PAINTS / VARNISHES,507190,1695257215.5,0.2101,ASIAN PAINTS LTD.,9,2022,SBI
INE021A01026,PAINTS / VARNISHES,507190,1576194363.0,0.1917,ASIAN PAINTS LTD.,10,2022,SBI
INE021A01026,PAINTS / VARNISHES,525105,1667287140.75,0.1979,ASIAN PAINTS LTD.,11,2022,SBI
INE021A01026,PAINTS / VARNISHES,525105,1621471729.5,0.1912,ASIAN PAINTS LTD.,12,2022,SBI
INE021A01026,PAINTS / VARNISHES,565569,1541656258.65,0.1805,ASIAN PAINTS LTD.,1,2023,SBI
INE006I01046,PLASTIC PRODUCTS - INDUSTRIAL,6885,13521451.5,0.0016,ASTRAL LTD.,12,2022,SBI
INE006I01046,PLASTIC PRODUCTS - INDUSTRIAL,108832,223399446.4,0.0262,ASTRAL LTD.,1,2023,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5244026,3940885539.0,0.4885,AXIS BANK LTD.,8,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5421516,3975055531.2,0.4925,AXIS BANK LTD.,9,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5223323,4732330638.0,0.5757,AXIS BANK LTD.,10,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5223323,4707519853.75,0.5589,AXIS BANK LTD.,11,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5221985,4876028493.75,0.5749,AXIS BANK LTD.,12,2022,SBI
INE238A01034,BANKS - PRIVATE SECTOR,5221985,4551482126.0,0.5329,AXIS BANK LTD.,1,2023,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,213189,870845086.65,0.1079,BAJAJ AUTO LTD.,8,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,239498,844889069.5,0.1047,BAJAJ AUTO LTD.,9,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,250869,921153337.65,0.1121,BAJAJ AUTO LTD.,10,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,263868,989689707.6,0.1175,BAJAJ AUTO LTD.,11,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,263868,954159881.4,0.1125,BAJAJ AUTO LTD.,12,2022,SBI
INE917I01010,AUTOMOBILES - SCOOTERS AND 3-WHEELERS,263868,1007513991.0,0.118,BAJAJ AUTO LTD.,1,2023,SBI
INE296A01024,FINANCE - MEDIUM,309380,2260407625.0,0.2802,BAJAJ FINANCE LTD.,8,2022,SBI
INE296A01024,FINANCE - MEDIUM,309397,2269659042.75,0.2812,BAJAJ FINANCE LTD.,9,2022,SBI
INE296A01024,FINANCE - MEDIUM,328789,2348901494.9,0.2858,BAJAJ FINANCE LTD.,10,2022,SBI
INE296A01024,FINANCE - MEDIUM,339202,2279759681.9,0.2706,BAJAJ FINANCE LTD.,11,2022,SBI
